'Testing Application'|'Project Name'|'Provider'|'Test Type'|'Test Step'|'Assertion'|'Result'|'Error Message'|'Result Numeric'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'Status code is 200'|'Fail'|'expected response to have status code 200 but got 500'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'must include valid JSON response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'didDocument must be present in response body'|'Fail'|'expected { Object (message) } to have property ''didDocument'''|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be present'|'Fail'|'Target cannot be null or undefined.'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be an array'|'Fail'|'Cannot destructure property ''alsoKnownAs'' of ''pm.response.json(...).didDocument'' as it is undefined.'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'alsoKnownAs values MUST be unique'|'Fail'|'Cannot destructure property ''alsoKnownAs'' of ''pm.response.json(...).didDocument'' as it is undefined.'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'alsoKnownAs[1] must be present'|'Fail'|'Cannot destructure property ''alsoKnownAs'' of ''pm.response.json(...).didDocument'' as it is undefined.'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'verification method controller must match did subject'|'Fail'|'Cannot read properties of undefined (reading ''verificationMethod'')'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Get Organization DIDs'|'`credential_issuer_id` persisted to collectionVariables'|'Fail'|'Cannot destructure property ''alsoKnownAs'' of ''pm.response.json(...).didDocument'' as it is undefined.'|'0'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Issue Credential'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Issue Credential'|'`credential_issuer_id` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Transmute'|'Credentials Issue Tutorial'|'Issue Credential'|'must return `201 Created` status'|'Fail'|'expected response to have status code 201 but got 500'|'0'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Access Token'|'must return `200 Success` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Access Token'|'response body must include non-empty access_token'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Access Token'|'response body must represent `Bearer` token'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Access Token'|'returned token must expire in the future'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Access Token'|'`access_token` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'Status code is 200'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'must include valid JSON response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'didDocument must be present in response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be an array'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs values MUST be unique'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs[1] must be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'verification method controller must match did subject'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'`credential_issuer_id` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Issue Credential'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Issue Credential'|'`credential_issuer_id` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Issue Credential'|'must return `201 Created` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Issue Credential'|'`verifiable_credential` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Verify Credential'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Verify Credential'|'`verifiable_credential` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Verify Credential'|'must return `200 Success` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'Mavennet'|'Credentials Verify Tutorial'|'Verify Credential'|'verification should be successful'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Access Token'|'must return `200 Success` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Access Token'|'response body must include non-empty access_token'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Access Token'|'response body must represent `Bearer` token'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Access Token'|'returned token must expire in the future'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Access Token'|'`access_token` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'Status code is 200'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'must include valid JSON response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'didDocument must be present in response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be an array'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs values MUST be unique'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'alsoKnownAs[1] must be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'verification method controller must match did subject'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Get Organization DIDs'|'`credential_issuer_id` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Issue Credential'|'`access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Issue Credential'|'`credential_issuer_id` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Issue Credential'|'must return `201 Created` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Credentials Verify Tutorial'|'Issue Credential'|'`verifiable_credential` persisted to collectionVariables'|'Pass'|''|'1'
